stop_id,stop_name,arrival_time,stop_sequence,direction_id,route_short_name,route_long_name,route_type
1640,Saint-Jacques,49860,13,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1997,Denfert-Rochereau,49980,14,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1763,Raspail,50040,15,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1930,Edgar-Quinet,50100,16,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1825,Montparnasse-Bienvenue,50160,17,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1781,Pasteur,50280,18,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1665,Sèvres-Lecourbe,50340,19,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
2016,Cambronne,50400,20,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1657,La Motte-Picquet-Grenelle,50460,21,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1926,Dupleix,50520,22,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
2069,Bir-Hakeim (Grenelle),50580,23,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1780,Passy,50640,24,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1687,Trocadéro,50760,25,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
2073,Boissière,50820,26,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
1909,Kléber,50880,27,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
2030,Charles de Gaulle-Etoile,51000,28,0,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller,1
2030,Charles de Gaulle-Etoile,51000,1,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1909,Kléber,51120,2,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
2073,Boissière,51180,3,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
1687,Trocadéro,51240,4,1,6,(NATION <-> CHARLES DE GAULLE - ETOILE) - Retour,1
